id,movie_title,lead_actor1,lead_actor2,sub_actor1,sub_actor2
384,그리울 련,정경호,정윤선,후지이미나,
385,극장판 꼬마버스 타요의 에이스 구출작전,문남숙,정혜옥,최하나,김영선
386,극장판 프리즘스톤 올스타 셀렉션,미야케켄타,코지로치에,이토카나에,아스미카나
387,글로리데이,지수,수호,류준열,김희찬
388,기적의 피아노,유예은,박정순,유장주,박유천
389,꾸루꾸루와 친구들:무지개 나무의 비밀,조현정,박신희,이소은,서유리
390,나는 증인이다,양미,루한,주아문,
391,나를 잊지 말아요,정우성,김하늘,,
392,나쁜놈은 죽는다,손예진,진백림,신현준,
393,눈길,김영옥,김향기,김새론,조수향
394,눈이라도 내렸으면,이효림,강성국,배진만,
395,대배우,오달수,윤제문,이경영,
396,대호,최민식,,,
397,더 폰,손현주,엄지원,배성우,
398,도리화가,류승룡,수지,송새벽,
399,돌연변이,이광수,이천희,박보영,
400,동주,강하늘,박정민,김인우,
401,두 개의 연애,김재욱,채정안,박규리,
402,드롭박스,이종락,,,
403,"로봇, 소리",이성민,이희준,이하늬,김원해
404,멜리스,홍수아,임성언,양도현,김하유
405,명량: 회오리 바다를 향하여,김한민,오타니료헤이,이해영,장준녕
406,무수단,이지아,김민준,,
407,미쓰 와이프,엄정화,송승헌,,
408,미씽: 사라진 여자,엄지원,공효진,,
409,미안해 사랑해 고마워,지진희,김성균,성유리,김영철
410,"불의날, 생명을말하다",박진주,김수로,김영자,김해창
411,뷰티 인사이드,한효주,김대명,도지한,배성우
412,뽀로로 극장판 컴퓨터 왕국 대모험,이선,이미자,함수정,홍소영
413,서부전선,설경구,여진구,,
414,서태지밴드 콘서트투어 '콰이어트나이트',서태지,,,
415,섬. 사라진 사람들,박효주,배성우,이현욱,
416,성난 변호사,이선균,김고은,임원희,
417,션샤인 러브,오정세,조은지,,
418,순교,김영학,안원정,배형규,심성민
419,순정,디오,김소현,연준석,이다윗
